1	[0.0, 0.0, 0.0, 0.009999999776482582]
2	[0.0, 0.6399999856948853, 0.6399999856948853, 0.6100000143051147]
3	[0.0, 0.03999999910593033, 0.09000000357627869, 0.0]
4	[0.0, 0.3499999940395355, 0.0, 0.0]
5	[0.0, 0.05999999865889549, 0.0, 0.0]
6	[0.0, 0.25999999046325684, 0.1599999964237213, 0.11999999731779099]
7	[0.0, 0.3499999940395355, 0.0, 0.28999999165534973]
8	[0.0, 0.0, 0.3499999940395355, 0.0]
9	[0.0, 0.0, 0.0, 0.10999999940395355]
10	[0.0, 0.0, 0.4099999964237213, 0.09000000357627869]
11	[0.0, 0.0, 0.0, 0.23999999463558197]
12	[0.0, 0.0, 0.0, 0.05000000074505806]
13	[0.0, 0.0, 0.0, 0.23000000417232513]
14	[0.0, 0.03999999910593033, 0.0, 0.0]
15	[0.0, 0.0, 0.4099999964237213, 0.0]
16	[0.0, 0.0, 0.1899999976158142, 0.0]
17	[0.0, 0.0, 0.0, 0.1899999976158142]
18	[0.0, 0.0, 0.0, 0.28999999165534973]
19	[0.0, 0.0, 0.05000000074505806, 0.0]
20	[0.0, 0.07000000029802322, 0.029999999329447746, 0.029999999329447746]
21	[0.0, 0.0, 0.029999999329447746, 0.0]
22	[0.0, 0.0, 0.0, 0.009999999776482582]
23	[0.0, 0.20999999344348907, 0.17000000178813934, 0.07000000029802322]
24	[0.0, 0.0, 0.3100000023841858, 0.0]
25	[0.0, 0.3400000035762787, 0.4099999964237213, 0.07000000029802322]
26	[0.0, 0.05999999865889549, 0.0, 0.0]
27	[0.0, 0.0, 0.009999999776482582, 0.0]
28	[0.0, 0.0, 0.0, 0.019999999552965164]
29	[0.0, 0.0, 0.0, 0.07000000029802322]
30	[0.0, 0.0, 0.0, 0.07000000029802322]
31	[0.0, 0.0, 0.0, 0.07999999821186066]
32	[0.0, 0.03999999910593033, 0.0, 0.0]
33	[0.0, 0.0, 0.009999999776482582, 0.0]
34	[0.0, 0.20000000298023224, 0.2199999988079071, 0.07000000029802322]
35	[0.0, 0.11999999731779099, 0.07000000029802322, 0.0]
36	[0.0, 0.0, 0.0, 0.009999999776482582]
37	[0.0, 0.03999999910593033, 0.009999999776482582, 0.009999999776482582]
38	[0.0, 0.25999999046325684, 0.5199999809265137, 0.23999999463558197]
39	[0.0, 0.23999999463558197, 0.0, 0.0]
40	[0.0, 0.0, 0.0, 0.009999999776482582]
41	[0.0, 0.11999999731779099, 0.05999999865889549, 0.009999999776482582]
42	[0.0, 0.0, 0.0, 0.009999999776482582]
43	[0.0, 0.0, 0.05999999865889549, 0.0]
44	[0.0, 0.0, 0.0, 0.009999999776482582]
45	[0.0, 0.0, 0.0, 0.009999999776482582]
46	[0.0, 0.029999999329447746, 0.0, 0.0]
47	[0.0, 0.0, 0.09000000357627869, 0.009999999776482582]
48	[0.0, 0.0, 0.33000001311302185, 0.0]
49	[0.0, 0.4099999964237213, 0.5299999713897705, 0.3700000047683716]
50	[0.0, 0.41999998688697815, 0.0, 0.0]
51	[0.0, 0.41999998688697815, 0.0, 0.0]
52	[0.0, 0.1599999964237213, 0.10999999940395355, 0.12999999523162842]
53	[0.0, 0.0, 0.2800000011920929, 0.0]
54	[0.0, 0.0, 0.029999999329447746, 0.0]
55	[0.0, 0.029999999329447746, 0.0, 0.0]
56	[0.0, 0.0, 0.0, 0.3700000047683716]
57	[0.0, 0.10000000149011612, 0.10000000149011612, 0.07999999821186066]
58	[0.0, 0.0, 0.75, 0.0]
59	[0.0, 0.7200000286102295, 0.7900000214576721, 0.7599999904632568]
60	[0.0, 0.0, 0.0, 0.3799999952316284]
61	[0.0, 0.07000000029802322, 0.09000000357627869, 0.20999999344348907]
62	[0.0, 0.0, 0.28999999165534973, 0.25999999046325684]
63	[0.0, 0.1599999964237213, 0.11999999731779099, 0.1599999964237213]
64	[0.0, 0.28999999165534973, 0.0, 0.1899999976158142]
65	[0.0, 0.0, 0.029999999329447746, 0.0]
66	[0.0, 0.0, 0.05000000074505806, 0.0]
67	[0.0, 0.0, 0.0, 0.009999999776482582]
68	[0.0, 0.0, 0.0, 0.009999999776482582]
69	[0.0, 0.0, 0.0, 0.009999999776482582]
70	[0.0, 0.4699999988079071, 0.0, 0.0]
71	[0.0, 0.05999999865889549, 0.0, 0.0]
72	[0.0, 0.23000000417232513, 0.0, 0.0]
73	[0.0, 0.019999999552965164, 0.0, 0.0]
74	[0.0, 0.029999999329447746, 0.0, 0.0]
75	[0.0, 0.03999999910593033, 0.0, 0.0]
76	[0.0, 0.05999999865889549, 0.0, 0.07000000029802322]
77	[0.0, 0.03999999910593033, 0.0, 0.0]
78	[0.0, 0.36000001430511475, 0.4399999976158142, 0.4399999976158142]
79	[0.0, 0.07000000029802322, 0.0, 0.0]
80	[0.0, 0.33000001311302185, 0.0, 0.0]
81	[0.0, 0.07000000029802322, 0.0, 0.0]
82	[0.0, 0.0, 0.0, 0.0]
83	[0.0, 0.0, 0.05000000074505806, 0.0]
84	[0.0, 0.0, 0.0, 0.0]
85	[0.0, 0.0, 0.0, 0.029999999329447746]
